entity_code,entity_name,region,income_group,registry_category,public_collective_noun,midpoint_year,pou_period_start,pou_period_end,obesity_value,obesity_low,obesity_high,pou_source_value,pou_censored,pou_lower,pou_upper,population,obesity_available,pou_available,population_available,comparable_primary,geometry_status,missing_reason,source_release_ids
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,40.529186,39.269575,41.788951,2.5,True,0.0,2.5,3132814,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
LAO,Lao PDR,East Asia & Pacific,Lower middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,4.5123495,3.6662232,5.4537453,,False,,,6426590,True,False,True,False,exact_code_match,pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,26.249021,24.397536,28.169709,3.9,False,3.9,3.9,5096020,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
LBR,Liberia,Sub-Saharan Africa,Low income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,7.7605069,6.8910353,8.6875968,35.6,False,35.6,35.6,4221178,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,30.704597,28.334004,33.163896,8.1,False,8.1,8.1,6343203,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,25.350127,23.043372,27.703565,,False,,,171801,True,False,True,False,off_map_no_exact_code,pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
LIE,Liechtenstein,Europe & Central Asia,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,,,,,False,,,36312,False,False,True,False,off_map_no_exact_code,obesity_and_pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
LKA,Sri Lanka,South Asia,Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,5.4457579,4.9598932,5.9504546,10.8,False,10.8,10.8,21009048,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,15.842412,14.605036,17.17177,,False,,,2014009,True,False,True,False,exact_code_match,pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
LTU,Lithuania,Europe & Central Asia,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,21.903153,19.832024,24.118894,2.5,True,0.0,2.5,3028115,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
LUX,Luxembourg,Europe & Central Asia,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,18.196101,16.321778,20.14201,2.5,True,0.0,2.5,518347,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
LVA,Latvia,Europe & Central Asia,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,21.236199,18.95849,23.637065,2.5,True,0.0,2.5,2059709,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
MAC,"Macao SAR, China",East Asia & Pacific,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,,,,9.4,False,9.4,9.4,549600,False,True,True,False,off_map_no_exact_code,obesity_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
MAF,St. Martin (French part),Latin America & Caribbean,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,,,,,False,,,37069,False,False,True,False,off_map_no_exact_code,obesity_and_pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,16.28816,14.692347,17.997795,4.5,False,4.5,4.5,32912588,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
